u,t,speaker,best_sim
385,3115.5,Brad Smith,0.3248225450515747
386,3116.5,Brad Smith,0.27971893548965454
387,3117.5,Brad Smith,0.2619079053401947
388,3137.8,Luke Mortensen,0.42512965202331543
389,3143.3999999999996,Luke Mortensen,0.19773796200752258
390,3149.0,Luke Mortensen,0.3296602666378021
391,3154.6000000000004,Luke Mortensen,0.28701144456863403
392,3160.2,Luke Mortensen,0.26453110575675964
393,3166.333333333333,Brad Smith,0.32018351554870605
394,3173.0,Brad Smith,0.19042488932609558
395,3179.666666666667,Brad Smith,0.23857375979423523
396,3184.0,Barbara Smith,0.15700070559978485
397,3188.75,Brad Smith,0.769527792930603
398,3190.25,Brad Smith,0.19262830913066864
399,3191.75,Brad Smith,0.6002910137176514
400,3193.25,Brad Smith,0.5471168756484985
401,3199.6923076923076,Barbara Smith,0.5743510723114014
402,3209.076923076923,Barbara Smith,0.6489671468734741
403,3218.4615384615386,Barbara Smith,0.560950517654419
404,3227.846153846154,Barbara Smith,0.7496238946914673
405,3237.2307692307695,Barbara Smith,0.4208899736404419
406,3246.6153846153848,Barbara Smith,0.6958330869674683
407,3256.0,Barbara Smith,0.6080442667007446
408,3265.3846153846152,Barbara Smith,0.5592446327209473
409,3274.7692307692305,Barbara Smith,0.5341345071792603
410,3284.153846153846,Barbara Smith,0.383700966835022
411,3293.5384615384614,Barbara Smith,0.4983164072036743
412,3302.923076923077,Barbara Smith,0.5957251787185669
413,3312.3076923076924,Barbara Smith,0.5735145807266235
414,3321.6923076923076,Barbara Smith,0.40276700258255005
415,3331.076923076923,Barbara Smith,0.5558254718780518
416,3340.4615384615386,Barbara Smith,0.6155298352241516
417,3349.846153846154,Barbara Smith,0.5255796909332275
418,3359.2307692307695,Barbara Smith,0.41118571162223816
419,3368.6153846153848,Barbara Smith,0.37719035148620605
420,3378.0,Barbara Smith,0.5572220683097839
421,3387.3846153846152,Barbara Smith,0.30483949184417725
422,3396.7692307692305,Barbara Smith,0.4281202554702759
423,3406.153846153846,Barbara Smith,0.6502267718315125
424,3415.5384615384614,Barbara Smith,0.48629072308540344
425,3424.923076923077,Barbara Smith,0.12150933593511581
426,3434.3076923076924,Barbara Smith,0.24879111349582672
427,3440.583333333333,Brad Smith,0.3059826195240021
428,3443.75,Brad Smith,0.22343730926513672
429,3446.916666666667,Brad Smith,0.2615683078765869
430,3450.083333333333,Brad Smith,0.24800437688827515
431,3453.25,Brad Smith,0.18639874458312988
432,3456.416666666667,Brad Smith,0.10441337525844574
433,3513.5,Silvia Ronco,
